Label,URL,brand,name,price,rating,skin_type,ingredients,product_image
face-mask,https://www.sephora.com/product/instant-detox-mask-P395615?icid2=products%20grid:p395615,Caudalie,Instant Detox Mask,$39.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","Water, Bentonite, Glycerin*, Acacia Senegal Gum*, Xanthan Gum, Benzyl Alcohol, Alcohol*, Sodium Dehydroacetate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Vitis Vinifera (Grape) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil*, Sodium Citrate, Dehydroacetic Acid, Coffea Arabica (Coffee) Seed Extract*, Coffea Robusta Seed Extract*, Citric Acid*, Papain*, Cupressus Sempervirens Oil*, Salvia Sclarea (Clary) Oil*, Commiphora Myrrha Oil*, Santalum Album (Sandalwood) Oil*, Anthemis Nobilis Flower Oil*, Petroselinum Crispum (Parsley) Seed Oil*, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Sodium Benzoate, Lactic Acid, Potassium Sorbate, Algin, Limonene, Linalool. *Plant Origin.",https://www.sephora.com/productimages/sku/s1698018-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/superberry-hydrate-glow-dream-mask-P440307?icid2=products%20grid:p440307,Youth To The People,Superberry Hydrate + Glow Dream Mask with Vitamin C,$48.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","Water/Aqua/Eau (Aqua), Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate, Cetyl Alcohol, Betaine, Isopropyl Myristate, Stearic Acid, Opuntia Tuna (Prickly Pear) Extract, Euterpe Oleracea (Acai) Fruit Extract, Lycium Barbarum (Goji) Extract, Aristotelia Chilensis (Maqui) Fruit Extract, Moringa Oleifera Leaf Extract, Tetrahexyldecyl Ascorbate (Vitamin C), Phenoxyethanol, Glyceryl Stearyl Citrate, Tocopheryl Acetate (Vitamin E), Glyceryl Laurate, Squalane Olive, Carbomer, Hyaluronic Acid, Allantoin, Panthenol (Vitamin B5), Ethylhexylglycerin, Xanthan Gum, Natural Fragrance, Riboflavin (Vitamin B2).",https://www.sephora.com/productimages/sku/s2180941-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/watermelon-glow-sleeping-mask-P420160?icid2=products%20grid:p420160,Glow Recipe,Watermelon + AHA Glow Sleeping Mask,$45.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","
Water, Sodium Hyaluronate, Glycerin, Caulerpa Lentillifera (Seaweed) Extract, Simethicone, Citrullus Lanatus (Watermelon) Fruit, Silica, Propanediol, Glycolic Acid, Lactic Acid, Cucurbita Pepo (Pumpkin) Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, Musa Sapientum (Banana) Fruit Extract , Paeonia Suffruticosa (Peony) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Ipomoea Batatas (Sweet Potato) Root Extract, Betaine, Beta Glucan, Hydroxyethylcellulose, Xanthan Gum, Alcohol, Fragrance.",https://www.sephora.com/productimages/sku/s1955764-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/t-l-c-sukari-babyfacial-P415777?icid2=products%20grid:p415777,Drunk Elephant,T.L.C. Sukari Babyfacial™ AHA + BHA Mask,$80.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","
Water, Glycolic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Sodium Hydroxide, Salicylic Acid, Aloe Barbadensis Leaf Extract, Camellia Oleifera Leaf Extract, Lactobacillus/Pumpkin Ferment Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Opuntia Ficus-Indica Extract, Pyrus Malus (Apple) Fruit Extract, Silybum Marianum Seed Extract, Saccharomyces Cerevisiae Extract, Vitis Vinifera (Grape) Juice Extract, Camellia Sinensis Leaf Powder, Cicer Arietinum Seed Powder, Sclerocarya Birrea Seed Oil, Passiflora Edulis Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hyaluronate Crosspolymer, Sodium PCA, Allantoin, Dipotassium Glycyrrhizate, Dextrin, Polydextrose, Sorbitan Isostearate, Amylopectin, Niacinamide, Phytosphingosine, Lactic Acid, Propanediol, Citric Acid, Titanium Dioxide, Trisodium Ethylenediamine Disuccinate, Polysorbate 60, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol.",https://www.sephora.com/productimages/sku/s1912385-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/the-ordinary-salicylic-acid-2-masque-P448530?icid2=products%20grid:p448530,The Ordinary,Salicylic Acid 2% Masque,$12.00 ,No Info,"['✔ Full\n', '✔ Sensitive\n', '✔ Normal\n', '✔ Dry\n', '✔ Combination\n', '✔ Oily\n', '✔ Natural\n']","Water, Kaolin, Squalane, Glycerin, Dimethyl Isosorbide, Silica Cetyl Silylate, Salicylic Acid, Sodium Polyacrylate, Pentylene Glycol, Charcoal Powder, 4-t-Butylcyclohexanol, Sclerotium Gum, Acacia Senegal Gum, Xanthan Gum, Phytic Acid, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Chlorphenesin, Phenoxyethanol.",https://www.sephora.com/productimages/sku/s2267581-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/super-mud-clearing-treatment-P376409?icid2=products%20grid:p376409,GLAMGLOW,SUPERMUD® Charcoal Instant Treatment Mask,$60.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Sensitive\n']","Water, Kaolin, Magnesium Aluminum Silicate, Mandelic Acid, Carbon, Eucalyptus Globulus Leaf, Tartaric Acid, Pyruvic Acid, Lactic Acid, Salicylic Acid, Glycolic Acid, Eucalyptus Globulus Leaf Powder, Aloe Barbadensis Leaf Juice, Glycyrrhiza Glabra (Licorice) Root Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hedera Helix (Ivy) Extract, Symphytum Officinale (Comfrey) Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Peg-12 Dimethicone, Caprylyl Glycol, Sodium Hydroxide, Butylene Glycol, Mentha Piperita (Peppermint) Oil, Hectorite, Hexylene Glycol, Glycerin, Calendula Officinalis Extract, Maltodextrin, Ethylhexylglycerin, Xanthan Gum, Fragrance (Parfum), Limonene, Benzyl Benzoate, Linalool, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Iron Oxides (Ci 77499).",https://www.sephora.com/productimages/sku/s1901230-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/face-mask-P429722?skuId=1973700&icid2=products%20grid:p429722,SEPHORA COLLECTION,Face Mask,$4.00 $5.50,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","Water, Butylene Glycol, Aloe Barbadensis Leaf Juice, Glycerin, Betaine, 1,2-Hexanediol, Hydroxyacetophenone, Saccharide Isomerate, Xanthan Gum, Parfum (Fragrance), Aloe Barbadensis Leaf Extract, Phalaenopsis Amabilis Extract, Phenoxyethanol, Citric Acid, Sodium Citrate, Potassium Sorbate, Sodium Benzoate.",https://www.sephora.com/productimages/sku/s1973700-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/water-sleeping-mask-P420651?icid2=products%20grid:p420651,LANEIGE,Water Sleeping Mask,$25.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","Water, Butylene Glycol, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, Trehalose, Sodium Hyaluronate, Oenothera Biennis (Evening Primrose) Root Extract, Prunus Armeniaca (Apricot) Fruit Extract, Beta-Glucan, Chenopodium Quinoa Seed Extract, Ascorbyl Glucoside, Magnesium Sulfate, Zinc Sulfate, Manganese Sulfate, Calcium Chloride, Potassium Alginate, Ammonium Acryloyldimethyltaurate / VP Copolymer, Polysorbate 20, Dimethicone, Dimethiconol, Dimethicone / Vinyl Dimethicone Crosspolymer, Propanediol, Ethylhexylglycerin, Stearyl Behenate, Polyglyceryl-3 Methylglucose Distearate, Hydroxypropyl Bispalmitamide MEA, Inulin Lauryl Carbamate, Alcohol, 1,2-Hexanediol, Caprylyl Glycol, Carbomer, Tromethamine, Disodium EDTA, Phenoxyethanol, Fragrance, Blue 1 (Ci 42090).",https://www.sephora.com/productimages/sku/s1966241-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/peace-out-microneedling-anti-wrinkle-retinol-patches-P453819?icid2=products%20grid:p453819,Peace Out,Microneedling Anti-Wrinkle Retinol Patches,$28.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","Sodium Hyaluronate, Cellulose Gum, Trehalose, Glycerin, Propanediol, Butylene Glycol, Caprylyl Glycol, Retinol, Adenosine, Carnosine, Ascorbic Acid, Palmitoyl Tripeptide-1, Biotinoyl Hexapeptide-2 Amide, Acetyl Octapeptide-3, Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Acetyl Hexapeptide-8, Heptasodium Hexacarboxymethyl Dipeptide-12, Melatonin, Madecassoside, Ethylhexylglycerin, Carbomer, Polysorbate 80, Polysorbate 20, 1,2-Hexanediol, Sodium Lactate.",https://www.sephora.com/productimages/sku/s2298701-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/youth-to-the-people-superclay-clay-purify-clear-power-mask-P470065?icid2=products%20grid:p470065,Youth To The People,Superclay Purify + Clear Power Mask,$36.00 ,No Info,[],"Water/Aqua/Eau, Kaolin, Magnesium Aluminum Silicate, Propanediol, Bentonite, Niacinamide, Glycerin, Cetearyl Alcohol, Glyceryl Stearate, Stearyl Alcohol, Montmorillonite (French Green Clay), Salicylic Acid, Saccharomyces/Xylinum/Black Tea Ferment, Salix Purpurea (Red Willow) Bark Extract, Allantoin, Illite, Oryza Sativa (Rice) Starch, Carthamus Tinctorius (Safflower) Seed Oil, Phycocyanin (Blue Algae), Aloe Barbadensis (Aloe Vera) Leaf Juice Powder, Glyceryl Acrylate/Acrylic Acid Copolymer, Cetearyl Olivate, Sorbitan Olivate, Triticum Aestivum (Wheatgrass) Leaf Powder, Sorbitan Stearate, Caprylhydroxamic Acid, 1,2-Hexanediol, Maltodextrin, Calcite, Charcoal, Gardenia Florida Fruit Extract.",https://www.sephora.com/productimages/sku/s2450674-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/rare-earth-deep-pore-cleansing-mask-P422002?icid2=products%20grid:p422002,Kiehl's Since 1851,Rare Earth Deep Pore Cleansing Mask,$38.00 ,No Info,[],"Water, Kaolin, Bentonite, Propanediol, Glycerin, CI 77891/Titanium Dioxide, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Zea Mays Starch/Corn Starch, Phenoxyethanol, Ceteareth-20, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Tocopherol, Lecithin, Aloe Barbadensis/Aloe Barbadensis Leaf Juice, Avena Sativa Flour/Oat Kernel Flour, Allantoin.",https://www.sephora.com/productimages/sku/s1989359-main-zoom.jpg?imwidth=315
face-mask,https://www.sephora.com/product/sheet-masks-P429529?icid2=products%20grid:p429529,Dr. Jart+,Sheet Masks,$6.00 ,No Info,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","
Water, Glycerin, Butylene Glycol, Alcohol, Panthenol, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Hydrolyzed Hyaluronic Acid, Algae Extract, Laminaria Japonica Extract, Chlorphenesin, Hydroxyethylcellulose, Disodium EDTA, Xanthan Gum, PEG-60 Hydrogenated Castor Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Schizandra Chinensis Fruit Extract, Coptis Japonica Root Extract, Camellia Sinensis Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Dipotassium Glycyrrhizate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Arginine, Citrus Grandis (Grapefruit) Seed Extract, Acorus Calamus Root Extract, Perilla Ocymoides Leaf Extract, Cyclopentasiloxane, Cyclohexasiloxane, PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer, Pelargonium Graveolens Flower Oil.",https://www.sephora.com/productimages/sku/s1723881-main-zoom.jpg?imwidth=315
